time,id,iq,vd,vq
1733814231449,0,5955,63956,15355
1733814231553,0,5602,62945,14748
1733814231658,0,5999,64863,15621
1733814231761,0,5654,63348,14872
1733814231865,0,5865,63231,15266
1733814231969,0,5558,61845,14381
1733814232074,0,5760,61991,15046
1733814232177,0,5732,62988,14764
1733814232281,0,5615,65449,16212
1733814232385,0,5784,64418,15231
1733814232489,0,5896,64174,15019
1733814232593,0,5854,62711,15418
1733814232697,0,5833,62491,14950
1733814232801,0,5963,61873,15022
1733814232905,0,5692,63149,14894
1733814233009,0,5887,63403,14960
1733814233113,0,5771,63668,14881
1733814233217,0,6193,63665,15171
1733814233321,0,5952,61982,14857
1733814233425,0,6004,63188,14731
1733814233529,0,6155,63140,14939
1733814233633,0,5797,64129,15421
1733814233737,0,6316,63680,15008
1733814233841,0,6077,64233,15322
1733814233944,0,6287,62930,15097
1733814234049,0,6082,61775,15169
1733814234153,0,6172,62525,15154
1733814234257,0,5935,62301,14513
1733814234361,0,6077,64139,15463
1733814234464,0,5993,62573,14469
1733814234569,0,6351,64665,15671
1733814234673,0,6126,62806,14774
1733814234777,0,6161,63045,15822
1733814234881,0,6318,62227,14897
1733814234985,0,6074,63074,15111
1733814235089,0,6357,63241,15708
1733814235193,0,5952,63276,14754
1733814235297,0,6153,64515,15649
1733814235401,0,5889,63579,15024
1733814235505,0,6185,62363,16153
1733814235609,0,6085,62590,14895
1733814235713,0,6297,63549,15415
1733814235816,0,5965,63061,15370
1733814235921,0,6251,63030,14827
1733814236025,0,5813,63175,14056
1733814236129,0,6166,63621,15033
1733814236233,0,6004,61710,14831
1733814236337,0,6015,62635,15048
1733814236441,0,6172,61959,14963
1733814236545,0,6152,64103,15927
1733814236649,0,6351,63917,15123
1733814236752,0,6101,64392,15499
1733814236856,0,6321,62986,15346
1733814236961,0,6131,61785,15085
1733814237065,0,6163,62789,15050
1733814237169,0,5971,61825,14511
1733814237273,0,6096,64454,15569
1733814237377,0,5930,62902,14887
1733814237481,0,6368,64865,15715
1733814237584,0,6126,63072,14968
1733814237689,0,6193,63730,15120
